,Site,Stand,plotID,Treatment,Ntrt,Ptrt,Species,Age,N,P,LDMC,SLA,StomDen,d13C,Parea,Narea
1,BEF,C1,C1_1,P,0,1,BE,Mid,23.12153604,1.473676417,446.595,17.955,NA,-29.55,0.082732973,1.297571789
2,BEF,C1,C1_1,P,0,1,PC,Mid,26.05897045,3.370073902,371.47,19.24666667,NA,-27.37333333,0.175331034,1.368298086
3,BEF,C1,C1_1,P,0,1,WB,Mid,17.29676135,1.697627304,425.5366667,11.08,NA,-27.90333333,0.154075049,1.567175171
4,BEF,C1,C1_1,P,0,1,YB,Mid,23.48834844,2.562457087,342.35,21.32,233,-29.755,0.122005006,1.126457778
5,BEF,C1,C1_2,N,1,0,BE,Mid,26.10459026,0.923154594,454.4633333,17.15,NA,-29.41727287,0.055206777,1.561112289
6,BEF,C1,C1_2,N,1,0,PC,Mid,36.41535793,1.503109644,410.7133333,16.39,NA,-25.38791384,0.094827825,2.32353214
7,BEF,C1,C1_2,N,1,0,WB,Mid,26.09096122,0.876530417,392.59,13.35,NA,-28.21176851,0.066216031,1.973741982
8,BEF,C1,C1_2,N,1,0,YB,Mid,24.29214599,0.9682814,428.7733333,13.58,205.3333333,-28.98474122,0.074076317,1.883781174
9,BEF,C1,C1_3,Control,0,0,BE,Mid,26.04459625,1.105344384,442.7033333,16.88,NA,-28.3410016,0.07224997,1.674712169
10,BEF,C1,C1_3,Control,0,0,PC,Mid,27.46710914,1.776746735,384.7333333,19.09,NA,-27.0527908,0.09853197,1.516784401
11,BEF,C1,C1_3,Control,0,0,WB,Mid,22.33584289,1.062076972,385.69,14.68,NA,-29.96353809,0.072420143,1.524981582
12,BEF,C1,C1_3,Control,0,0,YB,Mid,24.81624278,1.338836482,406.4366667,15.76333333,246.3333333,-28.79769298,0.087179676,1.621946284
13,BEF,C1,C1_4,NP,1,1,BE,Mid,24.6021098,1.459909954,470.1466667,20.99333333,NA,-29.86449709,0.069914863,1.190074073
14,BEF,C1,C1_4,NP,1,1,PC,Mid,31.8038777,2.378470123,378.51,19.92333333,NA,-26.10412081,0.12079298,1.608793044
15,BEF,C1,C1_4,NP,1,1,WB,Mid,23.44937586,1.611467632,421.7966667,11.94,NA,-28.20022938,0.135125762,1.963412942
16,BEF,C1,C1_4,NP,1,1,YB,Mid,26.64253489,2.098842007,374.0366667,20.21333333,175.6666667,-29.2334845,0.10543739,1.349533676
17,BEF,C2,C2_1,NP,1,1,BE,Mid,22.24900791,1.584819807,467.63,12.98333333,NA,NA,0.122173899,1.713777226
18,BEF,C2,C2_1,NP,1,1,PC,Mid,25.59438799,2.761107982,400.4133333,16.83333333,NA,NA,0.163327617,1.536435908
19,BEF,C2,C2_1,NP,1,1,RM,Mid,15.49502771,1.826502308,437.1333333,14.58,NA,NA,0.127256649,1.063268396
20,BEF,C2,C2_1,NP,1,1,WB,Mid,20.75291918,2.095491816,400.78,12.76,NA,NA,0.164614563,1.628465129
21,BEF,C2,C2_1,NP,1,1,YB,Mid,20.84741347,2.161568267,397.4233333,15.1,189,NA,0.150054599,1.44941786
22,BEF,C2,C2_2,Control,0,0,BE,Mid,23.15429905,0.983876926,508.2066667,16.45333333,NA,NA,0.06076152,1.422435489
23,BEF,C2,C2_2,Control,0,0,PC,Mid,27.29359249,1.509614179,431.1333333,15.42666667,NA,-27.26804044,0.099378218,1.79018338
24,BEF,C2,C2_2,Control,0,0,RM,Mid,24.31076585,0.981396603,457.0833333,13.26,NA,NA,0.074714323,1.851263291
25,BEF,C2,C2_2,Control,0,0,WB,Mid,17.27838686,0.905376212,439.88,13.18,NA,NA,0.068569703,1.312894689
26,BEF,C2,C2_2,Control,0,0,YB,Mid,24.79842555,1.136006424,391.75,18.11,198.6666667,NA,0.068376835,1.479736808
27,BEF,C2,C2_3,P,0,1,BE,Mid,20.55961715,1.549111655,488.0533333,15.65666667,NA,NA,0.100510369,1.346919812
28,BEF,C2,C2_3,P,0,1,PC,Mid,20.96730972,3.449405334,404.0866667,16.79,NA,NA,0.206507703,1.246814024
29,BEF,C2,C2_3,P,0,1,RM,Mid,15.00460394,2.020271033,452.2366667,13.28666667,NA,-29.81560405,0.153803695,1.138352358
30,BEF,C2,C2_3,P,0,1,WB,Mid,19.55421036,1.809993895,388.1633333,14.20333333,NA,NA,0.127150155,1.378878197
31,BEF,C2,C2_3,P,0,1,YB,Mid,21.70938503,1.886983124,359.1166667,21.17,163.6666667,NA,0.089442153,1.029097374
32,BEF,C2,C2_4,N,1,0,BE,Mid,21.99695664,0.894614285,521.2966667,14.87333333,NA,-28.39,0.06074696,1.483906671
33,BEF,C2,C2_4,N,1,0,PC,Mid,29.6347368,1.163531065,409.7166667,17.15666667,NA,-26.43685696,0.068097259,1.742909097
34,BEF,C2,C2_4,N,1,0,RM,Mid,20.4780532,1.094312559,438.3566667,14.94666667,NA,NA,0.074964168,1.408284045
35,BEF,C2,C2_4,N,1,0,WB,Mid,21.89744753,0.860967286,463.56,10.89,NA,NA,0.080689781,2.038565725
36,BEF,C2,C2_4,N,1,0,YB,Mid,25.22383647,1.276575476,383.33,22.21,192,NA,0.057474921,1.135646142
37,BEF,C4,C4_1,NP,1,1,BE,Mid,22.9897211,1.301018998,463.77,18.925,NA,-29.30907492,0.074375815,1.204130306
38,BEF,C4,C4_1,NP,1,1,RM,Mid,20.00696087,1.745748147,401.39,17.67333333,NA,-29.41744395,0.099029885,1.129402579
39,BEF,C4,C4_1,NP,1,1,WB,Mid,21.94218464,1.764019047,428.3633333,11.13333333,NA,-27.39933813,0.16040399,1.984617613
40,BEF,C4,C4_1,NP,1,1,YB,Mid,21.89488227,1.668877035,423.0166667,14.50666667,222.3333333,-29.16356966,0.119537909,1.581289884
41,BEF,C4,C4_2,N,1,0,BE,Mid,24.36811576,0.936858647,473.7233333,25.01,NA,-29.86472047,0.03818064,0.972864208
42,BEF,C4,C4_2,N,1,0,RM,Mid,21.00107352,1.081123247,438.4266667,13.93,NA,-29.76677668,0.07973525,1.545136979
43,BEF,C4,C4_2,N,1,0,WB,Mid,25.64654296,0.879580204,383.68,13.2,NA,-28.33231714,0.066632798,1.942264453
44,BEF,C4,C4_2,N,1,0,YB,Mid,32.98813595,1.295668093,338.92,21.64333333,213,-29.36930972,0.059897506,1.526509166
45,BEF,C4,C4_3,Control,0,0,BE,Mid,24.55204522,1.075113679,463.71,16.11333333,NA,-28.91075375,0.067342631,1.547442502
46,BEF,C4,C4_3,Control,0,0,RM,Mid,16.6534881,1.026808653,446.3766667,12.85666667,NA,-29.27659391,0.081195337,1.314911245
47,BEF,C4,C4_3,Control,0,0,WB,Mid,21.05374319,1.159514661,407.18,13.05,NA,-28.40472478,0.089354057,1.617649799
48,BEF,C4,C4_3,Control,0,0,YB,Mid,25.54159763,1.374607281,343.28,21.72333333,188.6666667,-29.99155903,0.063836866,1.184778728
49,BEF,C4,C4_4,P,0,1,BE,Mid,18.73516262,1.755144804,495.0566667,11.75333333,NA,-27.83822296,0.148609537,1.591581384
50,BEF,C4,C4_4,P,0,1,RM,Mid,17.22226519,2.683418064,435.1466667,13.48666667,NA,-29.22796914,0.203229167,1.300503158
51,BEF,C4,C4_4,P,0,1,WB,Mid,18.4644353,1.643379048,428.7733333,12.18,NA,-28.62952565,0.135360682,1.524587288
52,BEF,C4,C4_4,P,0,1,YB,Mid,21.11016719,2.076675684,400.23,15.41,229.6666667,-29.544111,0.134147911,1.372891647
53,BEF,C6,C6_1,NP,1,1,BE,Mid,22.20517685,1.709762542,483.98,17.78,NA,NA,0.101617228,1.331067603
54,BEF,C6,C6_1,NP,1,1,RM,Mid,19.33305791,1.75149723,445.2633333,14.46,NA,NA,0.122904778,1.373389664
55,BEF,C6,C6_1,NP,1,1,WB,Mid,21.32041983,1.920863652,444.73,10.7,NA,NA,0.167560954,2.05778767
56,BEF,C6,C6_1,NP,1,1,YB,Mid,24.35167334,2.16467406,417.05,13.39666667,270,NA,0.161040354,1.825340952
57,BEF,C6,C6_2,Control,0,0,BE,Mid,19.92450137,1.126354623,462.7233333,24.18333333,NA,NA,0.046529838,0.825494521
58,BEF,C6,C6_2,Control,0,0,RM,Mid,21.76569219,1.148178663,431.6333333,15.89666667,NA,-28.28619057,0.075156459,1.428653509
59,BEF,C6,C6_2,Control,0,0,WB,Mid,19.45827849,1.070002237,412.56,12.61,NA,NA,0.086408739,1.572455725
60,BEF,C6,C6_2,Control,0,0,YB,Mid,25.01017376,1.272923406,357.4133333,20.08666667,201.3333333,-30.10369467,0.063968448,1.25458114
61,BEF,C6,C6_3,N,1,0,BE,Mid,24.01110169,1.05112972,475.25,19.505,NA,NA,0.056067371,1.267570521
62,BEF,C6,C6_3,N,1,0,RM,Mid,19.91599232,1.019565014,474.3033333,11.91333333,NA,-28.59165198,0.086101455,1.683894571
63,BEF,C6,C6_3,N,1,0,WB,Mid,22.09662446,1.068526731,383.1466667,13.84,NA,NA,0.07748143,1.613137022
64,BEF,C6,C6_3,N,1,0,YB,Mid,26.46342843,1.219486236,395.8366667,17.62,233,-29.8089824,0.072255802,1.571099181
65,BEF,C6,C6_4,P,0,1,BE,Mid,22.79025899,2.095673809,447.9666667,17.45666667,NA,NA,0.124075906,1.332416593
66,BEF,C6,C6_4,P,0,1,RM,Mid,19.49600156,1.871748019,427.04,15.19,NA,-29.91046909,0.124230907,1.289319975
67,BEF,C6,C6_4,P,0,1,WB,Mid,21.2750327,2.16018956,432.0166667,10.83,NA,-27.40893854,0.202213894,1.971298384
68,BEF,C6,C6_4,P,0,1,YB,Mid,21.41789231,2.303029093,392.0866667,17.84,236.3333333,-29.84495626,0.132948936,1.241810081
69,BEF,C8,C8_1,P,0,1,BE,Late,20.35259556,1.471185264,496.4066667,19.88666667,NA,-28.61315237,0.074788506,1.037094474
70,BEF,C8,C8_1,P,0,1,SM,Late,16.69259442,2.780358922,493.1866667,12.67,536.6666667,-28.80199853,0.219738942,1.336441851
71,BEF,C8,C8_1,P,0,1,YB,Late,22.22768683,2.811804169,435.9,17.13,283,-31.17,0.164135437,1.297512511
72,BEF,C8,C8_2,Control,0,0,BE,Late,23.09216054,1.268058645,492.2566667,21.3,NA,-29.84189973,0.061522998,1.111155621
73,BEF,C8,C8_2,Control,0,0,SM,Late,15.86052858,1.319814276,483.3766667,12.68333333,430.3333333,-29.15259482,0.104124027,1.251029484
74,BEF,C8,C8_2,Control,0,0,YB,Late,21.02397506,1.566627638,431.8633333,13.18666667,263,-28.98406196,0.119384607,1.612637375
75,BEF,C8,C8_3,N,1,0,BE,Late,22.27523234,1.23367437,539.78,20.28666667,NA,-28.8487987,0.061001616,1.09895799
76,BEF,C8,C8_3,N,1,0,SM,Late,18.35992878,1.143117377,475.57,14.11666667,432.6666667,-28.90374761,0.081490398,1.313009569
77,BEF,C8,C8_3,N,1,0,YB,Late,23.1886348,1.433863169,445.7966667,14.89666667,206.3333333,-29.23495172,0.097975346,1.580592178
78,BEF,C8,C8_4,NP,1,1,BE,Late,25.47275881,1.514877678,488.3533333,18.32333333,NA,-29.09465771,0.091342249,1.525839997
79,BEF,C8,C8_4,NP,1,1,SM,Late,18.45145827,1.533366506,471.4466667,14.89,424,-29.48360619,0.103892284,1.283331718
80,BEF,C8,C8_4,NP,1,1,YB,Late,24.69511406,1.779020175,442.3733333,13.97666667,220.3333333,-29.15886178,0.129079294,1.816062016
81,BEF,C9,C9_1,Control,0,0,BE,Late,20.9013089,1.043130597,482.81,20.46,NA,-29.08077032,0.053175463,1.051700084
82,BEF,C9,C9_1,Control,0,0,SM,Late,16.83301278,0.950341434,472.05,13.38333333,514,-29.31376387,0.071047025,1.260329594
83,BEF,C9,C9_1,Control,0,0,YB,Late,22.06015073,1.078833583,449.1466667,14.31,218.3333333,-29.49700991,0.075342976,1.53893664
84,BEF,C9,C9_2,P,0,1,BE,Late,22.10183525,1.666845535,468.55,22.71666667,NA,-29.47720639,0.073644877,0.97263926
85,BEF,C9,C9_2,P,0,1,SM,Late,20.43259186,2.087436737,451.4566667,16.57666667,446.6666667,-29.17836079,0.125881953,1.236690333
86,BEF,C9,C9_2,P,0,1,YB,Late,22.91592543,1.954120077,391.3266667,18.28,187.6666667,-29.63498989,0.109246151,1.287689313
87,BEF,C9,C9_3,NP,1,1,BE,Late,21.89831222,1.301577185,496.88,13.96333333,NA,-28.52342451,0.09569875,1.606494171
88,BEF,C9,C9_3,NP,1,1,SM,Late,18.00995157,1.200863364,483.4966667,11.75666667,443.6666667,-28.07126389,0.10229841,1.544332576
89,BEF,C9,C9_3,NP,1,1,YB,Late,27.29589515,1.939278399,381.98,18.52666667,244.5,-30.51262686,0.106059563,1.500613062
90,BEF,C9,C9_4,N,1,0,BE,Late,20.96518883,0.860995802,499.67,15.81333333,NA,-29.43439724,0.054607937,1.334337375
91,BEF,C9,C9_4,N,1,0,SM,Late,21.27640775,1.057846972,516.65,14.08666667,407.3333333,-29.25394549,0.076563077,1.533571677
92,BEF,C9,C9_4,N,1,0,YB,Late,24.88083653,1.099199692,408.3033333,16.42666667,189.6666667,-29.92585169,0.067479793,1.514972311
93,HB,HBM,HBM_1,NP,1,1,BE,Mid,23.9,1.58991012,496.45,23.52,NA,-30.01,0.067589598,1.016026867
94,HB,HBM,HBM_1,NP,1,1,RM,Mid,20.05,1.606732508,436.39,18.395,NA,-29.555,0.087593881,1.091856399
95,HB,HBM,HBM_1,NP,1,1,SM,Mid,21.85,1.442277092,353.155,24.205,489,-29.765,0.060035331,0.919652395
96,HB,HBM,HBM_1,NP,1,1,WB,Mid,26.96666667,2.144495897,417.0666667,13.04666667,NA,-28.00333333,0.161162061,2.056832739
97,HB,HBM,HBM_1,NP,1,1,YB,Mid,24.1,2.010624515,394.3366667,20.32666667,184.3333333,-30.24333333,0.100658794,1.208938064
98,HB,HBM,HBM_2,N,1,0,BE,Mid,25.15,1.23634803,489.51,26.14,NA,-30.37,0.047278615,0.960654276
99,HB,HBM,HBM_2,N,1,0,RM,Mid,20.06666667,1.165335849,448.9866667,16.51333333,NA,-28.95444444,0.072602603,1.26198206
100,HB,HBM,HBM_2,N,1,0,SM,Mid,21.03890978,1.207286337,488.24,14.66666667,457,-29.78593487,0.082295933,1.436786549
101,HB,HBM,HBM_2,N,1,0,WB,Mid,26.4,1.276815018,430.23,11.55,NA,-27.44,0.110527616,2.28531856
102,HB,HBM,HBM_2,N,1,0,YB,Mid,30.7,1.601793841,398.2933333,17.97333333,231.5,-29.92,0.092207671,1.765721999
103,HB,HBM,HBM_3,Control,0,0,BE,Mid,25.23333333,1.635504795,483.5,26.98333333,NA,-29.93,0.060895746,0.934407521
104,HB,HBM,HBM_3,Control,0,0,RM,Mid,18.5,1.194434391,479.48,12.88666667,NA,-29.11833333,0.092819122,1.43351893
105,HB,HBM,HBM_3,Control,0,0,SM,Mid,18.23333333,1.155012831,465.1033333,18.80666667,409.3333333,-29.69333333,0.066261196,1.022921456
106,HB,HBM,HBM_3,Control,0,0,WB,Mid,21.5,1.199678363,402.5833333,14.82,NA,-29.06444444,0.091722134,1.5705903
107,HB,HBM,HBM_3,Control,0,0,YB,Mid,24.5,1.500985127,436.5266667,17.88,207,-29.69518519,0.085771033,1.399251929
108,HB,HBM,HBM_4,P,0,1,BE,Mid,24.53333333,1.808772866,508.78,24.94666667,NA,-29.9,0.073119435,0.9985878
109,HB,HBM,HBM_4,P,0,1,RM,Mid,15.8,1.63583508,438.025,16.61,NA,-29.7,0.111659385,1.013890676
