,Site,Stand,Plot,Species,TagID,Treatment.x,Age,Subplot.x,previous.tags,DBH2008,DBH2009,DBH2010,DBH2011,DBH2015,DBH2019,DBH2023,X,liveBA11,liveBA15,liveBA19,liveBA23,X.1,BA2011,BA2015,BA2019,BA2023,X.2,chgBA11_15,chgBA15_19,chgBA19_23,X.3,RBAIyr11_15,RBAIyr15_19,RBAIyr19_23,X.4,deadyr,dead2008.2010,dead2011,dead2015,dead2019,dead2023,notes2008.10,notes2011,notes2015,notes2019,notes2023,X.5,ingrowthyear,ingrowth5x5,Ntrt,Ptrt,plotID.x,Age3,RBAI,Order_Processed,Date_Collected,Stand_Age,Growth_Stage,Treatment.y,Ntrt.y,Ptrt.y,Catrt,Tree_Number,Subplot.y,Shots,Canopy_Locations,Field_Notes,Number_of_Leaves,Total_Fresh_Mass,Total_Leaf_Area,Leaf_Area_for_SLA,Oven_Dry_Mass_with_Bag,Oven_Dry_Bag_Weight,Total_Oven_Dry_Mass,Dry_Mass_Per_Leaf,Leaf_Area,SLA_cm2_g,SLA_m2kg,LDMC_g_g,LDMC,Lab_Notes,Caution,Date.Processed,d15N,d13C,N,propC,CN,Ca,Fe,K,Mg,Mn,P.214,P.178,S,Sr,Zn,Stomatal_Density,Extra_Notes,Former_TagID,Species_ID,Age2,ID,treeID,plotID.y,P178ln,Parea,Narea
1,BEF,C1,1,BE,435,P,Mid,B1,,NA,NA,NA,14.8,16.8,18.7,21.1,NA,172,221.7,274.6,349.7,NA,172,221.7,274.6,349.7,NA,0.288531775,0.238981009,0.273156224,NA,0.065427208,0.055033288,0.062234553,NA,NA,,,,,,,,,,,,NA,,0,1,C1_1,Mid,0.060221265,430,8/1/2022,Young,Third,P,0,1,0,2,B1,2,2,,7,4.2,321.109,320.929,NA,NA,1.97,0.28,45.87,162.91,16.29,0.47,469.05,"Brown spots, light spots, minor insect damage and holes",,8/4/2022,-0.3,-29.11,22.85957142,0.488332077,21.36,7.8776,0.0532,7.9424,1.0128,1.3011,1.4121,1.4629,1.3735,0.0204,0.0216,NA,,,FAGR,Mid,C1_1_P_BE_7_435,C1_1_BE_435,C1_1,0.380420767,0.089798048,1.403202469
2,BEF,C1,1,BE,775,P,Mid,B2,,NA,5.9,NA,6.5,7.8,8.6,9.3,NA,33.2,47.8,58.1,67.9,NA,33.2,47.8,58.1,67.9,NA,0.44,0.2156476,0.1694159,NA,NA,,NA,NA,NA,,,,,,tagged despite size class because it was shot in 2009,small but tagged for repeated foliage sampling.  Leave tag in place,"Foliage sampling tree, do not include in >10 for analysis",,,,NA,,0,1,C1_1,Mid,0.072456674,429,8/1/2022,Young,Third,P,0,1,0,1,B2,2,2,,5,2.9,241.528,241.306,NA,NA,1.23,0.25,48.31,196.18,19.62,0.42,424.14,"very damaged sample. Lots of brown spots, insect damage, one leaf with light green spots",,8/4/2022,-1.27,-29.99,23.38350066,0.485098419,20.75,11.25482869,0.041421925,10.0891317,1.161292238,1.318588213,1.466630253,1.484452833,1.376167226,0.026647833,0.03520469,NA,,,FAGR,Mid,C1_1_P_BE_5_775,C1_1_BE_775,C1_1,0.395046242,0.075667899,1.191941108
3,BEF,C1,1,PC,2638,P,Mid,C2,,NA,NA,NA,NA,10,10.8,11,NA,0,78.5,91.6,95,NA,0,78.5,91.6,95,NA,,0.1664,0.037379973,NA,NA,0.039230485,0.009216785,NA,NA,,,,,,,Not >10 cm DBH,new add; outside,,,,2015,out,0,1,C1_1,Mid,NA,432,8/1/2022,Young,Third,P,0,1,0,2,C2,2,2,,12,2.18,179.478,178.505,NA,NA,0.83,0.07,14.96,215.07,21.51,0.38,380.73,"minor insect damage and holes, some brown spots",,8/4/2022,-3.19,-28.47,24.81548293,0.468672549,18.89,10.80170044,0.072153191,17.16678917,2.425808805,0.096012848,3.632987369,3.686703779,1.377268411,0.040002217,0.017778218,NA,,,PRPE2,Mid,C1_1_P_PC_12_2638,C1_1_PC_2638,C1_1,1.304732774,0.171418784,1.153832842
4,BEF,C1,1,PC,2652,P,Mid,B3,,NA,NA,NA,NA,9.6,10.9,11.6,NA,0,72.4,93.3,105.7,NA,0,72.4,93.3,105.7,NA,,0.289171007,0.132564599,NA,NA,0.065559321,0.031610481,NA,NA,,,,,,,,new add; outside,,,,2015,out,0,1,C1_1,Mid,NA,433,8/1/2022,Young,Third,P,0,1,0,3,B3,3,2,,18,4.07,271.279,271.067,NA,NA,1.48,0.08,15.07,183.15,18.32,0.36,363.64,,,8/4/2022,-3.23,-27.5,23.19772734,0.48684625,20.99,11.53089001,0.05378222,17.3665276,2.540217424,0.093632788,3.245511622,3.328822696,1.343072496,0.040879842,0.019638445,NA,,,PRPE2,Mid,C1_1_P_PC_18_2652,C1_1_PC_2652,C1_1,1.202618697,0.181753901,1.266597179
5,BEF,C1,1,PC,441,P,Mid,C1,,NA,NA,NA,12.7,15.2,17,19.1,NA,126.7,181.5,227,286.5,NA,126.7,181.5,227,286.5,NA,0.432450865,0.250865651,0.262318339,NA,0.094006578,0.057554279,0.059966703,NA,NA,,,,,,,,,,,,NA,,0,1,C1_1,Mid,0.075613279,431,8/1/2022,Young,Third,P,0,1,0,1,C1,3,2,,9,2.27,150.536,150.415,NA,NA,0.84,0.09,16.73,179.07,17.91,0.37,370.04,"Small holes, few brown spots",,8/4/2022,-1.7,-26.15,30.16370107,0.501417708,16.62,11.48911596,0.056330774,18.75329379,2.644669428,0.100276907,3.04335997,3.094695231,1.479098525,0.03578587,0.014454462,NA,,,PRPE2,Mid,C1_1_P_PC_9_441,C1_1_PC_441,C1_1,1.12968943,0.172820418,1.684464236
6,BEF,C1,1,WB,418,P,Mid,B3,,NA,NA,NA,11.5,14.1,15.6,16.2,NA,103.9,156.1,191.1,206.1,NA,103.9,156.1,191.1,206.1,NA,0.503289225,0.224083296,0.078402367,NA,0.107288109,0.051847412,0.019049331,NA,NA,,,,,,,,,,,,NA,,0,1,C1_1,Mid,0.079147086,436,8/1/2022,Young,Third,P,0,1,0,3,B3,3,2,,5,2.32,105.188,105.098,NA,NA,0.97,0.19,21.04,108.35,10.83,0.42,418.1,tiny holes and insect damage,,8/4/2022,-1.27,-26.45,18.79534812,0.481267015,25.61,11.10261116,0.050745515,10.42362856,2.551094323,1.224771625,2.161994858,2.193745289,1.373183789,0.042172335,0.261435094,NA,,,BEPA,Mid,C1_1_P_WB_5_418,C1_1_WB_418,C1_1,0.785610261,0.202468416,1.734688336
7,BEF,C1,1,WB,420,P,Mid,B2,,NA,NA,NA,13,16.9,18.15,19.5,NA,132.7,224.3,258.7,298.6,NA,132.7,224.3,258.7,298.6,NA,0.69,0.153399741,0.15429274,NA,0.140175425,0.036322583,0.036523114,NA,NA,,,,,,,,,,,,NA,,0,1,C1_1,Mid,0.087027893,434,8/1/2022,Young,Third,P,0,1,0,1,B2,4,2,,9,3.99,201.142,200.98,NA,NA,1.69,0.19,22.35,118.92,11.89,0.42,423.56,"excluded samples with fridge damage. Tiny holes, brown sports, minor insect damage on edges",,8/4/2022,-1.17,-28.94,16.34197829,0.484169025,29.63,11.27823786,0.039914856,7.00117354,1.445029743,1.279802411,1.390747587,1.444324282,1.14057825,0.036305926,0.222478364,NA,,,BEPA,Mid,C1_1_P_WB_9_420,C1_1_WB_420,C1_1,0.367641587,0.121453438,1.374199318
8,BEF,C1,1,WB,429,P,Mid,B2,,NA,NA,NA,12.8,14.5,15.4,16,NA,128.7,165.1,186.3,201.1,NA,128.7,165.1,186.3,201.1,NA,0.28326416,0.127990488,0.07944004,NA,0.064336648,0.030567303,0.019294383,NA,NA,,,,,,,,,,,,NA,,0,1,C1_1,Mid,0.047319738,435,8/1/2022,Young,Third,P,0,1,0,2,B2,3,2,,8,5.15,235.74,235.62,NA,NA,2.24,0.28,29.47,105.19,10.52,0.43,434.95,"tiny holes and tiny brown spots, minor insect damage along margins",,8/4/2022,-0.08,-28.32,16.75295764,0.454077388,27.1,9.222807452,0.030959152,7.318317871,1.550514165,1.046578603,1.409787534,1.454812342,1.098829513,0.030971278,0.146578516,NA,,,BEPA,Mid,C1_1_P_WB_8_429,C1_1_WB_429,C1_1,0.374876918,0.138303293,1.592637859
9,BEF,C1,1,YB,1808,P,Mid,B2,,NA,NA,NA,NA,11.7,13.1,14.6,NA,0,107.5,134.8,167.4,NA,0,107.5,134.8,167.4,NA,,0.253634305,0.242118758,NA,NA,0.058138989,0.055700628,NA,NA,,,,,,Added to inventory in 2014,,new add; outside,,,,2015,out,0,1,C1_1,Mid,NA,437,8/1/2022,Young,Third,P,0,1,0,1,B2,3,2,,6,2.87,194.585,194.382,NA,NA,1.08,0.18,32.43,179.98,18,0.38,376.31,"tiny holes and insect damage, one fuzzy leaf",,8/4/2022,-2.29,-29.59,23.11740007,0.479402596,20.74,9.965653065,0.064118194,9.423705994,2.091899389,1.949858873,2.392741705,2.403664325,1.238318602,0.028286768,0.197249902,254,,,BEAL2,Mid,C1_1_P_YB_6_1808,C1_1_YB_1808,C1_1,0.876994375,0.133551746,1.28444272
10,BEF,C1,2,BE,714,N,Mid,C1,,NA,7.7,NA,8.1,9.9,11.2,12.1,NA,51.5,77,98.5,115,NA,51.5,77,98.5,115,NA,0.49382716,0.279869401,0.167171556,NA,NA,0.063632047,0.039402301,NA,NA,,,,,,tagged despite size class because it was shot in 2009,small but tagged for repeated foliage sampling.  Leave tag in place,"Foliage sampling tree, do not include in >10 for analysis",,,,NA,,1,0,C1_2,Mid,0.084435248,439,8/1/2022,Young,Third,N,1,0,0,1,C1,2,2,,7,3.37,219.213,219.166,NA,NA,1.68,0.24,31.32,130.46,13.05,0.5,498.52,tiny holes and brown spots,,8/4/2022,0.46,-28.1,24.57028519,0.492162719,20.03,5.612776084,0.045400058,5.430238273,1.140901514,0.95090443,0.838639517,0.87102201,1.472022127,0.007470971,0.023242105,NA,,,FAGR,Mid,C1_2_N_BE_7_714,C1_2_BE_714,C1_2,-0.138088033,0.066765446,1.883357749
